                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.53187,                0.93363,                 1.0071,                0.69434,                 0.6206,                  0.648,                0.61598,                0.29177,                0.57152,                0.84732,              0.0096634,              0.0096634,              0.0096634
                     37,                0.53338,                0.93569,                  1.007,                0.69744,                0.62337,                0.65009,                0.61845,                0.29169,                0.56926,                0.84745,              0.0096535,              0.0096535,              0.0096535
                     38,                0.53179,                0.93153,                 1.0056,                0.69542,                0.62238,                0.65146,                0.62011,                 0.2916,                0.56742,                0.84748,              0.0096436,              0.0096436,              0.0096436
                     39,                0.53097,                0.92801,                 1.0043,                0.69593,                0.62198,                0.65299,                0.62149,                0.29098,                0.56565,                0.84697,              0.0096337,              0.0096337,              0.0096337
                     40,                0.53131,                0.92357,                 1.0057,                0.71005,                0.61614,                0.65391,                0.62217,                0.29113,                0.56429,                0.84736,              0.0096238,              0.0096238,              0.0096238
                     41,                0.53151,                0.92989,                 1.0057,                0.70901,                0.61603,                0.65467,                0.62217,                0.29113,                0.56279,                0.84751,              0.0096139,              0.0096139,              0.0096139
                     42,                0.53045,                0.92484,                 1.0053,                 0.7136,                0.61418,                0.65335,                0.62053,                0.29108,                0.56052,                0.84758,               0.009604,               0.009604,               0.009604
                     43,                0.53091,                0.92571,                 1.0045,                0.73187,                0.60337,                0.65427,                0.62096,                0.29103,                0.55938,                0.84766,              0.0095941,              0.0095941,              0.0095941
                     44,                0.52838,                0.91908,                 1.0038,                0.72707,                0.60713,                0.65533,                 0.6223,                0.29082,                0.55849,                 0.8472,              0.0095842,              0.0095842,              0.0095842
                     45,                0.52948,                0.92074,                 1.0053,                0.72736,                0.61006,                0.65712,                0.62386,                0.29108,                0.55751,                0.84729,              0.0095743,              0.0095743,              0.0095743
                     46,                0.52941,                0.91784,                 1.0045,                0.73247,                0.61226,                0.65932,                0.62436,                0.29132,                0.55597,                0.84733,              0.0095644,              0.0095644,              0.0095644
                     47,                 0.5292,                0.91686,                 1.0045,                0.73228,                0.61327,                0.65858,                0.62378,                 0.2916,                0.55543,                0.84766,              0.0095545,              0.0095545,              0.0095545
                     48,                0.53075,                0.91437,                 1.0042,                 0.7407,                 0.6095,                0.65919,                0.62445,                0.29185,                0.55461,                0.84798,              0.0095446,              0.0095446,              0.0095446
                     49,                 0.5265,                0.91247,                 1.0022,                0.74159,                 0.6069,                0.65752,                0.62211,                0.29189,                0.55455,                0.84807,              0.0095347,              0.0095347,              0.0095347
                     50,                0.52919,                0.91041,                 1.0037,                0.74831,                0.59926,                0.65786,                0.62274,                0.29152,                0.55367,                0.84775,              0.0095248,              0.0095248,              0.0095248
                     51,                0.52985,                0.91344,                  1.004,                0.74092,                0.60489,                0.65912,                0.62451,                0.29139,                0.55297,                0.84753,              0.0095149,              0.0095149,              0.0095149
                     52,                0.52798,                0.91077,                 1.0043,                0.72318,                0.61411,                0.66082,                0.62626,                0.29132,                0.55129,                0.84744,               0.009505,               0.009505,               0.009505
                     53,                0.52575,                0.90571,                 1.0025,                0.73254,                0.60831,                0.65747,                 0.6245,                0.29133,                0.55059,                0.84743,              0.0094951,              0.0094951,              0.0094951
                     54,                0.52908,                0.91084,                 1.0051,                0.74836,                0.60118,                0.65703,                0.62454,                0.29117,                0.54978,                 0.8472,              0.0094852,              0.0094852,              0.0094852
                     55,                0.52655,                 0.9083,                 1.0025,                0.75378,                0.59647,                0.65833,                0.62536,                0.29123,                0.54866,                0.84744,              0.0094753,              0.0094753,              0.0094753
                     56,                0.52853,                 0.9076,                 1.0037,                0.74899,                 0.6017,                0.65963,                0.62626,                0.29138,                 0.5481,                0.84751,              0.0094654,              0.0094654,              0.0094654
                     57,                0.52917,                 0.9024,                 1.0041,                0.75616,                 0.5996,                0.66084,                0.62705,                0.29122,                0.54754,                0.84742,              0.0094555,              0.0094555,              0.0094555
                     58,                0.52777,                0.90557,                 1.0036,                 0.7601,                0.59682,                0.66139,                0.62843,                  0.291,                0.54714,                0.84741,              0.0094456,              0.0094456,              0.0094456
                     59,                0.52615,                0.90453,                 1.0023,                0.76099,                0.59762,                0.65966,                0.62698,                0.29103,                0.54648,                0.84733,              0.0094357,              0.0094357,              0.0094357
                     60,                 0.5267,                0.90433,                 1.0029,                0.74657,                 0.6127,                0.65992,                0.62691,                0.29096,                0.54584,                0.84709,              0.0094258,              0.0094258,              0.0094258
                     61,                0.52575,                0.89841,                 1.0018,                0.74873,                0.60641,                0.66085,                 0.6282,                0.29061,                0.54549,                0.84694,              0.0094159,              0.0094159,              0.0094159
                     62,                0.52652,                0.89687,                 1.0032,                0.73229,                0.61644,                0.66096,                0.62886,                 0.2903,                0.54408,                0.84664,               0.009406,               0.009406,               0.009406
                     63,                0.52553,                0.89329,                 1.0023,                0.74133,                0.60972,                0.66047,                0.62854,                0.29028,                0.54359,                 0.8464,              0.0093961,              0.0093961,              0.0093961
                     64,                0.52825,                0.89912,                 1.0041,                0.70281,                0.63326,                0.65994,                0.62733,                0.29017,                0.54294,                0.84623,              0.0093862,              0.0093862,              0.0093862
                     65,                0.52539,                0.89569,                  1.001,                0.71041,                0.63001,                0.66107,                0.62847,                0.29045,                0.54259,                0.84647,              0.0093763,              0.0093763,              0.0093763
                     66,                0.52671,                0.89769,                 1.0023,                0.73179,                0.62558,                0.66037,                0.62775,                0.29058,                0.54127,                0.84669,              0.0093664,              0.0093664,              0.0093664
                     67,                0.52519,                0.89317,                 1.0015,                 0.7544,                0.60695,                0.66153,                0.62891,                0.29086,                0.54095,                0.84693,              0.0093565,              0.0093565,              0.0093565
                     68,                0.52805,                0.89878,                 1.0035,                0.74874,                0.61581,                0.66176,                0.62959,                0.29111,                0.54095,                 0.8472,              0.0093466,              0.0093466,              0.0093466
                     69,                0.52734,                0.89538,                 1.0028,                0.74507,                0.61376,                0.66156,                0.62886,                0.29109,                 0.5399,                0.84719,              0.0093367,              0.0093367,              0.0093367
                     70,                0.52576,                0.89323,                 1.0022,                0.73824,                0.62048,                0.66251,                0.63013,                0.29078,                0.53881,                0.84694,              0.0093268,              0.0093268,              0.0093268
                     71,                0.52613,                0.89053,                 1.0023,                0.74584,                0.61822,                0.66321,                0.63064,                0.29084,                0.53897,                0.84702,              0.0093169,              0.0093169,              0.0093169
                     72,                0.52405,                 0.8931,                 1.0013,                0.72737,                0.63556,                0.66336,                0.63088,                 0.2908,                0.53888,                0.84715,               0.009307,               0.009307,               0.009307
